Album,Tên bài hát,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
All girls are the same (Single),All girls are the same,,,Isaac Hale,Jarad Higgins,"Âu Mỹ, Folk",FUGA
Made You Look (Acoustic) (Single),Made You Look (Acoustic),,,Scottie,Sean Douglas,"Âu Mỹ, Folk",FUGA
Heather On The Hill (Single),Heather On The Hill,,,Nathan Evans,,"Âu Mỹ, Folk",Universal Music Group
Pillowtalk (Single),Pillowtalk,,,Simon Sage,Anthony Hannides,"Âu Mỹ, Folk",FUGA
Circles (Single),Circles,,,Simon Sage,Austin Post,"Âu Mỹ, Folk",FUGA
Cooped up - Acoustic (Single),Cooped up - Acoustic,,,Pool Kids,Austin Post,"Âu Mỹ, Folk",FUGA
WITHOUT ME (Single),WITHOUT ME,,,Graham Carter,Amy Allen,"Âu Mỹ, Folk",FUGA
Suzume (Single),Suzume,,,"Chilled Cat, Medieval Cat",,"Âu Mỹ, Folk",FUGA
I ain't worried (Single),I ain't worried,,,middle of june,Björn Yttling,"Âu Mỹ, Folk",FUGA
LampLight (Single),Today,,,Lazy Tree,Jack Dean,"Âu Mỹ, Folk",FUGA
LampLight (Single),Lamp,,,Lazy Tree,Jack Dean,"Âu Mỹ, Folk",FUGA
LampLight (Single),Night Light,,,Lazy Tree,Jack Dean,"Âu Mỹ, Folk",FUGA
Leaves of Summer (Single),Leaves of Summer,,,Jacob Donham,Jacob Donham,"Âu Mỹ, Folk, R&B / Soul",FUGA
Open Arms (Hallelujah) (Single),Open Arms (Hallelujah),,,gavn!,"Gavin Donald Maher, Drew Pearson, Micah Premnath","Âu Mỹ, Folk",FUGA
Astronaut (Live At St. Patrick's Cathedral) (Single),Astronaut (Live At St.…,,,Damien Rice,,"Âu Mỹ, Folk",Universal Music Group
So Sick (Single),So Sick,,,Fox & Hart,Ne-Yo,"Âu Mỹ, Folk",FUGA
Cedar (EP),Older,,,Joshua Hyslop,,"Âu Mỹ, Folk",FUGA
Everytime We Touch (Single),Everytime We Touch,,,Simon Sage,"Stuart Mackillop, Maggie Reilly, Peter Risavy","Âu Mỹ, Folk",FUGA
Telephone (Single),Telephone,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
dancing in the moonlight (Single),dancing in the moonlight,,,middle of june,Sherman Kelly,"Âu Mỹ, Folk",FUGA
Nights Like This (Acoustic) (Single),Nights Like This - Acoustic,,,Pool Kids,,"Âu Mỹ, Folk",FUGA
Shape of you (Single),shape of you,,,who's heather,,"Âu Mỹ, Folk",FUGA
Don't Know Why I Love (Single),Don't Know Why I Love,,,Gregory Ackerman,Gregory Ackerman,"Âu Mỹ, Folk",FUGA
Life Stories - Day To Day,Tomorrow Will Come,,,Atomica Music,Jonathan Meyer,"Âu Mỹ, Folk",FUGA
All of me (Acoustic) (Single),All of me (Acoustic),,,Norah Davis,Norah Davis,"Âu Mỹ, Folk",FUGA
Pines (EP),Hard Rain,,,Joshua Hyslop,,"Âu Mỹ, Folk",FUGA
Sunset Horizon (EP),Sun & Sea,,,"SanelliX, Fedeflaviano, DreamBetter",,"Âu Mỹ, Folk",FUGA
Sleepless Nights (EP),the night we met,,,"LUXID AXID, wind-up bird","Kishan Ratan Chawla, Vlad Nikiforov","Âu Mỹ, Folk",FUGA
Heather On The Hill (Madism Remix) (Single),Heather On The Hill…,,,"Nathan Evans, Madism",,"Âu Mỹ, Folk",Universal Music Group
seasons (Single),seasons,,,Amistat,"Jan Prasil, Josef Prasil","Âu Mỹ, Folk",FUGA
My Everything (Single),My Everything,,,Ocie Elliott,,"Âu Mỹ, Folk",FUGA
Big Girls Don't Cry (Single),Big Girls Don't Cry,,,Nelly Hope,"Tobias Gad, Stacy Ferguson, Jamal Jones, Sean Garrett & Mike Hartnett","Âu Mỹ, Folk",FUGA
Talking Body (Single),Talking Body,,,Pool Kids,Tove Lo,"Âu Mỹ, Folk",FUGA
Glad He's Gone (Single),Glad He's Gone,,,Pool Kids,Tove Lo,"Âu Mỹ, Folk",FUGA
anti-hero (Single),anti-hero,,,who's heather,Taylor Swift,"Âu Mỹ, Folk",FUGA
Hotline Bling (Single),Hotline Bling,,,Kim & Otto,Drake,"Âu Mỹ, Folk",FUGA
When comes the night (Single),When comes the night,,,"softy, Dimension 32","Hyun Soo Kang, Martin Bénech","Âu Mỹ, Folk",FUGA
Rearview Mirror (Single),Rearview Mirror,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
Visiting Hours (Acoustic) (Single),Visiting Hours (Acoustic),,,Fox & Hart,Ed Sheeran,"Âu Mỹ, Folk",FUGA
bai bai (Single),bai bai,,,Phantxm,,"Âu Mỹ, Folk",FUGA
Mysterious (EP),Mysterious,,,"softy, Dimension 32","Hyun Soo Kang, Martin Bénech","Âu Mỹ, Folk",FUGA
What Remains (EP),What Remains,,,Ocie Elliott,,"Âu Mỹ, Folk",FUGA
Secrets (Single),Secrets,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
Disappearing Light (Single),Disappearing Light,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
Haunted (Single),Haunted,,,Oliver Hazard,"Michael Paul Belazis, Devin Michael East, Jacquire Brown King","Âu Mỹ, Folk",FUGA
Lord Of The Rings Lofi Vol.1 (Single),The Shire,,,Chillbo Baggins,,"Âu Mỹ, Folk",FUGA
Never Gonna Give You Up (Single),Never Gonna Give You Up…,,,Nelly Hope,Rick Astley,"Âu Mỹ, Folk",FUGA
Holidays,As if we were kids,,,"One million flowers, Hernán Perez, Roadetrix",Hernán Perez,"Âu Mỹ, Folk",FUGA
With the Lights Down (Single),With the Lights Down,,,Ocie Elliott,,"Âu Mỹ, Folk",FUGA
Placid (Single),Placid,,,Goldusk,,"Âu Mỹ, Folk",FUGA
Faded Colours (Single),Faded Colours,,,Joshua Hyslop,,"Âu Mỹ, Folk",FUGA
Drugstore Houses (Single),Drugstore Houses,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
The Lightning (EP),The Lightning,,,The Ballroom Thieves,,"Âu Mỹ, Folk",FUGA
What Remains (EP),Life I Know,,,Ocie Elliott,,"Âu Mỹ, Folk",FUGA
missing you (Single),missing you,,,Daemon,Nicolae Alexandru Valentin,"Âu Mỹ, Folk",FUGA
Tale of a love story (EP),Luminescence,,,SanelliX,,"Âu Mỹ, Folk",FUGA
Toma Toma Toma (Single),Toma Toma Toma,,,"Spoon, GANGUE",,"Âu Mỹ, Folk",FUGA
I Hope It All Works Out (Single),I Hope It All Works Out,,,Mark Ambor,Mark Ambor,"Âu Mỹ, Folk",Ingrooves Music Group
Tell Em (Instrumental Remake) (Single),Tell Em (Instrumental…,,,beamglow,Lo Beam,"Âu Mỹ, Folk",FUGA
Empty Love (Single),Empty love,,,Jessy Hayden,Grace Barker,"Âu Mỹ, Folk",FUGA
Polygraph (Single),Polygraph,,,Old Sea Brigade,"Benjamin George Cramer, Trent Dabbs","Âu Mỹ, Folk",FUGA
Deep Slumber (Single),Deep Slumber,,,"Smith Beats, after noon","Joshua Smith, Oliver Patton","Âu Mỹ, Folk",FUGA
Can I Have Forever with You (Single),Can I Have Forever with You,,,The Sweeplings,,"Âu Mỹ, Folk",FUGA
The Veil (Single),The Veil,,,Joshua Hyslop,,"Âu Mỹ, Folk",FUGA
Small Town Rituals,Time After Time,,,Garrett Kato,,"Âu Mỹ, Folk",FUGA
Billie's Bar (Single),Billie's Bar,,,"dean., Grisp","Dean Fünffrock, Josia Franz Pommer","Âu Mỹ, Folk",FUGA
Stay (Single),Stay,,,Norah Davis,Rihanna,"Âu Mỹ, Folk",FUGA
Christmas Vibes 2022,The Good Inside Us,,,"Lofi Munk Music, NamesAsFlowers",Alessandro De Toro,"Âu Mỹ, Folk",FUGA
Heaven in the Right Light (Single),Heaven in the Right Light,,,Old Sea Brigade,"Benjamin George Cramer, Trent Dabbs","Âu Mỹ, Folk",FUGA
a delightful hug (Single),a delightful hug,,,"Pevanni, alhivi",,"Âu Mỹ, Folk",FUGA
Jealous (Acoustic) (Single),Jealous (Acoustic),,,Norah Davis,Natalie Hemby,"Âu Mỹ, Folk",FUGA
"Baby, You Know (Single)","Baby, You Know",,,Ocie Elliott,,"Âu Mỹ, Folk",FUGA
Cali (Single),Cali,,,"JackDeanBeats, Lazy Tree Records",Jack Dean,"Âu Mỹ, Folk",FUGA
War Horse (Single),War Horse,,,Red Rune,Særún Sól Helgadóttir,"Âu Mỹ, Folk",Ingrooves Music Group
Café Jazz Zesty Bossa (Single),Lemon Tree,,,Dalliance Engage,,"Âu Mỹ, Blues / Jazz",RouteNote
Sometime Ago (Single),Sometime Ago,,,Madeleine West,Madeleine West,"Âu Mỹ, Blues / Jazz",FUGA
A Romantic Evening: Soothing Piano Jazz Music to Relax (Single),A Romantic Evening,,,"Renato Ferrari, Jazz Music DEA Channel, Spa Music Relaxation",Renato Ferrari,"Âu Mỹ, Blues / Jazz",RouteNote
Legacy,Fly Me To the Moon,,,"Adam Blackstone, Leslie Odom, Jr., Wayne Bergeron",Adam Blackstone,"Âu Mỹ, Blues / Jazz",Empire Music
On the Sunny Side of the Street with Karen Mal - Single,On The Sunny Side of The…,,,On the Sunny Side of the Street Band,,"Âu Mỹ, Blues / Jazz, Pop",RouteNote
Harlequin,Close To You,,,Lady Gaga,,"Âu Mỹ, Blues / Jazz",Universal Music Group
Tribute (Single),Tribute,,,Boney James,,"Âu Mỹ, Blues / Jazz",Universal Music Group
Thank God It's Friday (Single),Thank God It's Friday,,,Mike Coen,"Höper, Martin","Âu Mỹ, Blues / Jazz",FUGA
Slow Lane (Single),Slow Lane,,,"softy, JazzyHan","Hyun Soo Kang, Junghan Choi","Âu Mỹ, Blues / Jazz",FUGA
Saxophone Memories (Single),Jazz Saxophone and Coffee,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
That's my life (Single),That's my life,,,"Jasper, Martin Arteta, 11:11 Music Group",,"Âu Mỹ, Blues / Jazz",RouteNote
blue,Yesterday,,,Diana Panton,,"Âu Mỹ, Blues / Jazz",Ingrooves Music Group
Deeper (Single),Deeper,,,Realizer,,"Âu Mỹ, Blues / Jazz",FUGA
Si tu vois ma mere (Blumlein Session) (Single),Si tu vois ma mere…,,,La Crème Swing Band,,"Âu Mỹ, Blues / Jazz",RouteNote
Perfect Jazz For Restaurants And Bars (Single),Setting the Tables,,,Relaxing Jazz Restaurant Music,,"Âu Mỹ, Blues / Jazz",RouteNote
Nomad in the Sky (EP),Nomad in the Sky,,,"George Ko, GKO","George Ko, GKO","Âu Mỹ, Blues / Jazz",FUGA
Old Folks (Single),Old Folks,,,Madeleine West,Madeleine West,"Âu Mỹ, Blues / Jazz",FUGA
It's Always You (Single),It's Always You,,,Noah Francis,Jimmy van Heusen,"Âu Mỹ, Blues / Jazz",FUGA
Linger Awhile,Guess Who I Saw Today,,,Samara Joy,,"Âu Mỹ, Blues / Jazz",Universal Music Group
June (Single),June,,,Realizer,,"Âu Mỹ, Blues / Jazz",FUGA
A Hundred Highways (Single),(Ghost) Riders In The Sky,,,Def Americans,,"Âu Mỹ, Country, Blues / Jazz",RouteNote
Mùa Thu Cho Em,Một mình,,,"Trần Mạnh Tuấn, Vũ Trọng Hiếu, Chris Jennings",,,Believe
Memorable Days,Close to the Sun,,,Jazz100,,,FUGA
,Bài Không Tên Cuối Cùng,,,,,,
Let's Fall In Love (Single),Let's Fall In Love,,,Jon Belle,Jon Belle,"Âu Mỹ, Blues / Jazz",FUGA
April In Paris (Single),The End Of A Love Affair,,,Anna Niva,Anna Niva,"Âu Mỹ, Blues / Jazz",FUGA
,Lullaby Tres,,,,,,
I Hear A Rhapsody (Single),I Hear A Rhapsody,,,Francis Graden,,,FUGA
Legacy: The Instrumental Jawn,The Storm Will Pass (feat.…,,,"Adam Blackstone, Kenneth Whalum, Melvin Jones",,,Empire Music
,Yearning,,,,,,
Harlequin,Happy Mistake,,,Lady Gaga,,"Âu Mỹ, Blues / Jazz",Universal Music Group
Goddess (Single),Goddess,,,Laufey,Laufey,"Âu Mỹ, Blues / Jazz",The Orchard
Lazy Afternoon (Single),Lazy Afternoon,,,"Jeff Goldblum & The Mildred Snitzer Orchestra, Freda Payne","Jerome Moross, John LaTouche","Âu Mỹ, Blues / Jazz",Universal Music Group
This Lullaby (Single),This Lullaby,,,Grace Carey,Coline Ceed,"Âu Mỹ, Blues / Jazz",FUGA
Mùa Thu Cho Em,Bài Không Tên Số 4,,,"Trần Mạnh Tuấn, Vũ Trọng Hiếu, Chris Jennings",Vũ Thành An,"Âu Mỹ, Blues / Jazz",Believe
I Didn't Know What Time It Was (Single),I Didn't Know What Time It…,,,Francis Graden,Richard Rodgers,"Âu Mỹ, Blues / Jazz",FUGA
Detour,Detour,,,Boney James,,"Âu Mỹ, Blues / Jazz",Universal Music Group
After You've Gone (Single),After You've Gone,,,Jean Fines,Jean Fines,"Âu Mỹ, Blues / Jazz",FUGA
Background Electric Blues For Bars And Restaurants (Single),Time Back,,,Background Blues,,"Âu Mỹ, Blues / Jazz",RouteNote
ninja (Single),ninja,,,"Jasper, Martin Arteta, 11:11 Music Group",,"Âu Mỹ, Blues / Jazz",RouteNote
Suzanne (Single),Suzanne,,,"Here It Is, Gregory Porter",,"Âu Mỹ, Blues / Jazz",Universal Music Group
Even The Stars Envy You (Single),You’re the Moon of the Night,,,Irvin Smith,Valdemar Nilsson,"Âu Mỹ, Blues / Jazz",FUGA
Night Stroll (Single),Night Stroll,,,Jean Fines,Harold Drew,"Âu Mỹ, Blues / Jazz",FUGA
Saxophone Memories (Single),Blowing Out the Cobwebs,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Perhaps You’ll Wonder Why (Single),Perhaps You'll Wonder Why,,,"Melody Gardot, Philippe Powell",Philippe Baden Powell,"Âu Mỹ, Blues / Jazz",Universal Music Group
Mùa Thu Cho Em,Bản Tình Cuối,,,"Trần Mạnh Tuấn, Vũ Trọng Hiếu, Chris Jennings",Ngô Thụy Miên,"Âu Mỹ, Blues / Jazz",Believe
Saxophone Memories (Single),Face the Music,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Blue Skies,Out of Nowhere,,,Seth MacFarlane,,"Âu Mỹ, Blues / Jazz",Universal Music Group
There Will Never Be Another You (Single),There Will Never Be…,,,Noah Francis,Harry Warren,"Âu Mỹ, Blues / Jazz",FUGA
Blue Moon (Single),Blue Moon,,,Marc Leigh,Marc Leigh,"Âu Mỹ, Blues / Jazz",FUGA
Vanity (Single),Vanity,,,Sara Gazarek,"Guy Wood, Jack Manus, Bernard Bierman","Âu Mỹ, Blues / Jazz",The Orchard
It's Only a Paper Moon (EP),It's Only a Paper Moon,,,"Claire Martin, Scott Dunn, Royal Philharmonic Orchestra","Harold Arlen, Yip Harburg, Billy Rose","Âu Mỹ, Blues / Jazz",The Orchard
Rainy Days And Jazz (Single),Cozy Jazz,,,Rainy Day Jazz Band,,"Âu Mỹ, Blues / Jazz",RouteNote
"Brazil, With Love",Felicidade,,,"Carlos Barbosa-Lima, Sharon Isbin",,"Âu Mỹ, Blues / Jazz",Universal Music Group
Saxophone Memories (Single),Time and Time Again,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Lonely House,Deep in a Dream,,,Lucy Yeghiazaryan,"Van Huesen, E. DeLange","Âu Mỹ, Blues / Jazz",The Orchard
Saxophone Memories (Single),Perfect Jazz Sax BGM,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Mùa Thu Cho Em,Cho Em Quên Tuổi Ngọc,,,"Trần Mạnh Tuấn, Vũ Trọng Hiếu, Chris Jennings",Lam Phương,"Âu Mỹ, Blues / Jazz",Believe
Harlequin,Folie à Deux,,,Lady Gaga,,"Âu Mỹ, Blues / Jazz",Universal Music Group
Everytime we touch (Single),Everytime we touch,,,Leonard Hara Tran,,"Âu Mỹ, Blues / Jazz",RouteNote
Saxophone Memories (Single),An Alto a Day Keeps the…,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Innocence,Major Lullaby,,,Kenny G,"Kenny G, Walter Afanasieff","Âu Mỹ, Blues / Jazz",Universal Music Group
Harlequin,Good Morning,,,Lady Gaga,,"Âu Mỹ, Blues / Jazz",Universal Music Group
Oia (Single),Oia,,,Andy Luma,"Nilsson, Valdemar","Âu Mỹ, Blues / Jazz",FUGA
Saxophone Memories (Single),Fortune Favours No Man,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Saxophone Memories (Single),Brass Rubbings,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Edelweiss (Single),Edelweiss,,,Kenny G,Richard Rodgers,"Âu Mỹ, Blues / Jazz",Universal Music Group
Innocence,Kinderlove,,,Kenny G,Kenny G,"Âu Mỹ, Blues / Jazz",Universal Music Group
Viet DJ Collection (Single),Yeu Em Khong He Hoi Han…,,,Viet DJ,,"Âu Mỹ, Electronic / Dance, Blues / Jazz",RouteNote
Saxophone Memories (Single),Broken Reeds,,,The Vintage Jazz Quartet,,"Âu Mỹ, Blues / Jazz",RouteNote
Mùa Thu Cho Em,Mùa Thu Cho Em,,,"Trần Mạnh Tuấn, Vũ Trọng Hiếu, Chris Jennings",Ngô Thụy Miên,"Âu Mỹ, Blues / Jazz",Believe
Bells On Sand,Just A Dream,,,"Gerald Clayton, Maro",,"Âu Mỹ, Blues / Jazz",Universal Music Group
I'm On Top Of School Rooftop (remixes) (Single),I'm On Top Of School…,,,"Sedogy Bedam, MADEBYGODES, WMD","Sedogy Bedam, Michael Erickson, Diego Florêncio","Âu Mỹ, Blues / Jazz",FUGA
Slow Jazz Vibes (Single),Enjoying The Day,,,Background Jazz Music,,"Âu Mỹ, Blues / Jazz",RouteNote
Café Jazz Zesty Bossa (Single),Summertime Jazz Dalliance,,,Dalliance Engage,,,RouteNote
Waltz for Hal Willner (Single),Waltz for Hal Willner,,,Bill Frisell,,,Universal Music Group
Saxophone Memories (Single),Waiting by the Door,,,The Vintage Jazz Quartet,,,RouteNote
Innocence,Rock-a-Bye Baby,,,Kenny G,,,Universal Music Group
Sax Swing Collection (Single),Jazz Saxophone Swing BGM,,,The Jazz Bar Sax Collection,,"Âu Mỹ, Blues / Jazz",RouteNote
Doing The Loop (feat. Bing Bang) (Single),Doing The Loop (feat. Bing…,,,"Donata, Bing Bang",,"Âu Mỹ, Pop, Blues / Jazz",RouteNote
Innocence,Nocturne Op. 9 No. 2,,,Kenny G,Frederic Chopin,"Âu Mỹ, Blues / Jazz",Universal Music Group
As You Are (Single),As You Are,,,Northern Dreams,,,FUGA
Café Jazz Zesty Bossa (Single),Zesty Bossa Nova Café,,,Dalliance Engage,,"Âu Mỹ, Blues / Jazz",RouteNote
Restaurant Jazz Background (Single),Romantic Dinner,,,Restaurant Jazz Playlist,,"Âu Mỹ, Blues / Jazz, Nhạc Phim",RouteNote
Viet DJ Collection (Single),Con Lai Gi Sau Con Mua,,,Viet DJ,,"Âu Mỹ, Electronic / Dance, Blues / Jazz",RouteNote
Eternal Maze (EP),Eternal Maze,,,Piper Williamson,Piper Williamson,"Âu Mỹ, Blues / Jazz",FUGA
Once Upon a December (Single),Once Upon a December,,,Sara Océan,Lynn Ahrens,"Âu Mỹ, Blues / Jazz",Ingrooves Music Group
Gửi Người Em Gái (Single),Gửi Người Em Gái,,,Trần Mạnh Tuấn,"Từ Linh, Đoàn Chuẩn","Âu Mỹ, Blues / Jazz",Believe
Coffee Jazz Club,Firewood,,,C.J.C.H,O Cudworth,"Âu Mỹ, Blues / Jazz",RouteNote
Gabi Hartmann,Baby,,,Gabi Hartmann,Gabi Hartmann,"Âu Mỹ, Blues / Jazz",Sony Music Entertainment
A Romantic Evening: Soothing Piano Jazz Music to Relax (Single),Sweet Sunset,,,"Renato Ferrari, Jazz Music DEA Channel, Spa Music Relaxation",Renato Ferrari,"Âu Mỹ, Blues / Jazz",RouteNote
Innocence,Acapella Lullaby,,,Kenny G,Kenny G,"Âu Mỹ, Blues / Jazz",Universal Music Group
Bossa Coffeehouse Isolation (Single),Let's Isolate Together,,,Simply Coffeehouse,Simply Coffeehouse,"Âu Mỹ, Blues / Jazz",RouteNote
A Romantic Evening: Soothing Piano Jazz Music to Relax (Single),Jazz Lounge,,,"Renato Ferrari, Jazz Music DEA Channel, Spa Music Relaxation",Renato Ferrari,"Âu Mỹ, Blues / Jazz",RouteNote
Coffee Jazz Club,Her Caffeine Dream,,,C.J.C.H,O Cudworth,"Âu Mỹ, Blues / Jazz",RouteNote
Coffee Jazz Club,Hot Tub,,,C.J.C.H,O Cudworth,"Âu Mỹ, Blues / Jazz",RouteNote
Can't Get Out Of This Mood (Duo Version) (Single),Can't Get Out Of This Mood…,,,"Samara Joy, Gerald Clayton","Frank Loesser, Jimmy McHugh","Âu Mỹ, Blues / Jazz",Universal Music Group
Harlequin,World On A String,,,Lady Gaga,,,Universal Music Group
Innocence,Studio City Lullaby,,,Kenny G,,,Universal Music Group
Harlequin,sMILE,,,Lady Gaga,,,Universal Music Group
Skibidi Toilet (Remix) (Single),Skibidi Toilet (Remix),,,EmCee.A,,,FUGA
I Need Your Love (PH Remix) (Single),I Need Your Love (PH Remix),,,"Phúc Hải, Magnus Carlsson",,,ICG Music
Addicted (Joel Corry Remix) (Single),Addicted (Joel Corry Remix),,,"ZERB, The Chainsmokers, Ink","Matheus Zerbini Massa, Alex Pall","Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
The Drum (Single),The Drum,,,Alan Walker,"Alan Walker, Mårten Fohlin, Kristin Carpenter, Kasper","Âu Mỹ, Pop, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
Wide Open (Single),Wide Open,,,"Disco Lines, No/Me",,"Âu Mỹ, Trance / House / Techno",Ingrooves Music Group
Mwaki (Tiësto's VIP Mix) (Single),Mwaki (Tiësto's VIP Mix),,,"ZERB, Tiësto, Sofiya Nzau",Matheus Zerbini Massa,"Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
Senbonzakura (Rimi Remix) (Single),Senbonzakura (Rimi Remix),,,"Rimi, Hatsune Miku","Kurousa-P, Đỗ Đình Hoàng Anh","Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
This Is What It Feels Like (Armin van Buuren 2023 Remix) (Single),This Is What It Feels Like…,,,"Armin Van Buuren, Trevor Guthrie","John Ewbank, Jenson Vaughan, Trevor Guthrie, Armin Van Buuren, Benno De Goeij","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Armada
"Haolak, Pt.2 (EP)",Mưa Cuối (Extended Mix),,,HAOZI,,,Warner Music Vietnam
,Somebody Like U,,,,,,
Walkerverse Pt. II (EP),Shut Up,,,"Alan Walker, Upsahl",,,Sony Music Entertainment
,Tic Tac,,,,,,
In And Out Of Love (Single),In And Out Of Love,,,"Armin Van Buuren, Sharon den Adel","Armin Van Buuren, Benno De Goeij, Sharon den Adel","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Armada
Futuristic Frequencies (EP),The Sound of Silence,,,DJ TygA,Thierry Yves Guy Adélaide,"Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
The Edge (Single),The Edge,,,"NIVIRO, Harley Bird",,,FUGA
Monday (Single),Monday,,,"Vintage Culture, Felguk, Le Dib",,,Universal Music Group
Thank You (Not So Bad) (Single),Thank You (Not So Bad),,,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas",,,Sony Music Entertainment
Back To You (Single),Back To You,,,"Lost Frequencies, Elley Duhé, X Ambassadors",,,Sony Music Entertainment
Illusionary Daytime (Rimi Remix) (Single),Illusionary Daytime (Rimi…,,,"Rimi, Shirfine","Shirfine, Đỗ Đình Hoàng Anh","Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
All Night (Single),All Night,,,"Armin Van Buuren, John Christian","Armin Van Buuren, John Dirne","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Armada
Senbonzakura (Rimi Remix - Instrumental) (Single),Senbonzakura (Rimi Remix…,,,"Rimi, Hatsune Miku","Kurousa-P, Đỗ Đình Hoàng Anh","Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
Love (Single),Love,,,"Armin Van Buuren, Omnia","Armin Van Buuren, Evgeny Smirnov","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Armada
Caramel (Single),Caramel,,,"Elektronomia, Stahl, Rud","Elektronomia, Stahl, Rud","Âu Mỹ, Trance / House / Techno",FUGA
Le Le Ley (Remix) (Single),Le Le Ley (Remix),,,"Minh Wise, Thành Black","Vũ Gia Minh, Thành Nguyễn, Camelia Theodora Marin, Jora Mihail, Mihai Andreias","Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
Prada (Alok Remix) (Single),Prada (Alok Remix),,,"Casso, RAYE, Alok, D-Block Europe","Rachel Keen, Adam Williams, Ricky Banton, Obi Ebele, Uche Ebele","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
No Sleep (Single),No Sleep,,,"Hardwell, Sarah De Warren",,,FUGA
If I Disappear (Single),If I Disappear,,,"Tobu, Tom Mårtensson",,,FUGA
Memory Lane (Single),Memory Lane,,,Tobu,,,FUGA
Sarabande (Single),Sarabande,,,"Armin Van Buuren, Vini Vici, Anna Timofei","Armin Van Buuren, Matan Kadosh, Aviram Saharai, Anna Timofei","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Armada
We Could Be Love,Patience,,,"Hayden James, Karen Harding","Hayden James Luby, Karen Harding, Koray Altiparmak","Âu Mỹ, Trance / House / Techno",Ingrooves Music Group
Deep In Your Love (Single),Deep In Your Love,,,"Alok, Bebe Rexha","Bebe Rexha, Alok Achkar Peres Petrillo, Ennio Morricone, Ben Duncombe, OHYES, Camden Cox","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
In My Bones (Single),In My Bones,,,"Lost Frequencies, David Kushner",,,Sony Music Entertainment
Walkerverse Pt. II (EP),Catch Me If You Can,,,"Alan Walker, Sorana",,,Sony Music Entertainment
,Satellite,,,,,,
Prada (Single),Prada,,,"Casso, RAYE, D-Block Europe","Rachel Keen, Adam Williams, Ricky Banton, Obi Ebele, Uche Ebele","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
Unstoppable (R3HAB Remix) (Single),Unstoppable (R3HAB Remix),,,"Sia, R3hab","Sia, Christopher Braide","Âu Mỹ, Pop, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
"Walkerverse, Pt. I (EP)",Blue,,,"Alan Walker, Ina Wroldsen","Alan Walker, Ina Wroldsen, Mats Lie Skare, Marcus Arnbekk, Fredrik Borch Olsen, Gunnar Greve, Carl Hovind","Âu Mỹ, Pop, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
The Feeling (Single),The Feeling,,,"Lost Frequencies, Bonn",Felix de Laet,"Âu Mỹ, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
Ponk (Single),Ponk,,,Presets Beats,Manuel Sanchez,"Âu Mỹ, Electronic / Dance, Trance / House / Techno",FUGA
"Deep In Your Love (Dimitri Vegas & Like Mike, Ben Nicky & Dr Phunk Remix) (Single)",Deep In Your Love (Dimitri…,,,"Alok, Bebe Rexha, Ben Nicky, Dr Phunk","Bebe Rexha, Alok Achkar Peres Petrillo, Ennio Morricone, Ben Duncombe, OHYES, Camden Cox","Âu Mỹ, Electronic / Dance, Trance / House / Techno",Sony Music Entertainment
Repeating (Single),Repeating,,,Punctual,,"Âu Mỹ, Electronic / Dance, Trance / House / Techno",Monstercat
